Estab	http://userannotation/na	School Name	http://dbpedia.org/page/Category:Schools	Type	http://dbpedia.org/page/Category:School_types	Phase		Education Area	http://userannotation/na	District Area	http://userannotation/na	2008_A_SchoolAction	http://userannotation/na	2008_P_SchoolActionPlus	http://userannotation/na	2008_Statemented	http://userannotation/na	2009_A_SchoolAction	http://userannotation/na	2009_P_SchoolActionPlus	http://userannotation/na	2009_Statemented	http://userannotation/na	2010_A_SchoolAction	http://userannotation/na	2010_P_SchoolActionPlus	http://userannotation/na	2010_Statemented	http://userannotation/na
4752		Trinity Catholic School - A Specialist Arts and Technology College	http://dbpedia.org/page/Trinity_Catholic_Technology_College	Secondary	http://dbpedia.org/page/Secondary_school	Secondary	http://dbpedia.org/page/Secondary_school	Central		Warwick		12,7		3,6		2,7		13,9		4,4		2,7		17,7		2,4		2,5	
3068		Tysoe C.Of E. Primary School	http://userannotation/na	Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	Southern		Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	4,1		4,1		0		5,1		2,1		0		7		4,5		0	
3072		Warton Nethersole's C.Of E. Primary School		Primary		Primary		North Warwickshire	http://dbpedia.org/page/North_Warwickshire	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	11,3		3,8		0,8		2,9		4,3		1,4		3,1		4,7		0,8	
1022		Warwick Children's Centre & Nursery School		Nursery	http://dbpedia.org/page/Nursery_school	Nursery	http://dbpedia.org/page/Nursery_school	Central	http://userannotation/na	Warwick	http://dbpedia.org/page/Warwick_District	5,4		9,5		0		1,5		0		0		2,9		8,7		0	
2618		Water Orton Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	5,7		5,1		1		9		6,8		1,3		11,2		7		1,3	
2632		Weddington Primary School		Primary		Primary		Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	15,1		4,2		2,3		13,9		5,4		3,1		12,6		5,6		4	
7044		Welcombe Hills School		Special	http://dbpedia.org/page/Special_education	Special	http://dbpedia.org/page/Special_education	Southern	http://userannotation/na	Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	0,5		13,7		81,9		0,6		6,1		83,9		0		0,6		85,9	
2058		Welford-On-Avon Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	Southern		Stratford on Avon		3,2		1,2		3,2		2,4		1,2		2		1,2		2,7		2	
3073		Wellesbourne C.Of E. Primary School		Primary		Primary		Southern		Stratford on Avon		17,8		3,6		1,2		21,9		3,6		1,2		17		2,3		0,9	
2629		Wembrook Primary School	http://dbpedia.org/page/Wembrook_Primary_School	Primary		Primary		Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	23,8		7		1		18		7,4		1		14		7,6		0,9	
2322		Westgate Primary School	http://userannotation/na	Primary		Primary		Central	http://userannotation/na	Warwick	http://dbpedia.org/page/Warwick_District	15,7		14,2		3		17,1		14,6		4,1		18,7		11,9		3,7	
2021		Wheelwright Lane Primary School		Primary		Primary		Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	12,3		7		12,3		15,1		7,5		10,9		8,6		10,6		16,3	
2123		Whitestone Infant School		Infant	http://dbpedia.org/page/Infant_school	Primary		Nuneaton & Bedworth		Nuneaton and Bedworth		10,1		5,8		0,8		8,8		7,3		0,4		13,4		6,5		0,8	
1003		Whitnash Nursery School		Nursery	http://dbpedia.org/page/Nursery_school	Nursery	http://dbpedia.org/page/Nursery_school	Central	http://userannotation/na	Warwick	http://dbpedia.org/page/Warwick_District	2,5		3,8		0		1,3		1,3		0		1,2		1,2		0	
2324		Whitnash Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	Central		Warwick		19,4		5,6		3,7		17,4		7		4,3		13,6		7,6		6,1	
3313		Wilmcote C.Of E. (Voluntary Aided) Primary School		Primary		Primary		Southern		Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	7		6		0		10,6		4,3		0		25		3,8		0	
3192		Wolston St. Margaret's C.Of E. Primary School		Primary		Primary		Eastern		Rugby	http://dbpedia.org/page/Borough_of_Rugby	15,9		7,7		2,2		13,8		6,9		2,7		14,1		6,5		2,2	
5201		Wolverton Primary School		Primary		Primary		Southern		Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	3		9		0		7,8		4,9		0		4,9		5,8		0	
3193		Wolvey C.Of E. Primary School		Primary		Primary		Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Rugby	http://dbpedia.org/page/Borough_of_Rugby	5,6		12,8		1,1		2,3		10,3		1,7		3,3		9,3		1,6	
2063		Wood End Primary School	http://dbpedia.org/page/Wood_End_Primary_School	Primary		Primary		North Warwickshire	http://dbpedia.org/page/North_Warwickshire	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	7,7		11,6		0		8,1		10,7		0		8,2		11,6		0	
7047		Woodlands School	http://userannotation/na	Special	http://dbpedia.org/page/Special_education	Special	http://dbpedia.org/page/Special_education	North Warwickshire		North Warwickshire		0		9,8		90,2		0		5,7		94,3		0		10		90	
5207		Woodloes Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	Central	http://userannotation/na	Warwick	http://dbpedia.org/page/Warwick_District		http://userannotation/na		http://userannotation/na		http://userannotation/na		http://userannotation/na		http://userannotation/na		http://userannotation/na	9,7		8,5		3,1	
2642		Woodside C.Of E. Primary School		Primary		Primary		North Warwickshire	http://dbpedia.org/page/North_Warwickshire	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	12,9	http://userannotation/number	11,7	http://userannotation/number	0,8	http://userannotation/number	14,8	http://userannotation/number	6,9	http://userannotation/number	0,9	http://userannotation/number	14,9		9,1		1	
3074		Wootton Wawen C.Of E. Primary School		Primary		Primary		Southern	http://userannotation/na	Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	7,9		1,8		1,2		14,1		2,4		0,6		17,1		1,2		0,6	
